submission_date;state;tot_cases;conf_cases;prob_cases;new_case;pnew_case;tot_death;conf_death;prob_death;new_death;pnew_death;created_at;consent_cases;consent_deaths
12/13/2020;NM;119,800;;;1,442;0;2,478;;;43;2;12/15/2020 12:00:00 AM;N/A;Not agree
12/06/2020;SD;85,991;;;687;64;1,110;928;182;19;5;12/07/2020 02:38:33 PM;N/A;Agree
09/17/2020;IA;77,315;;;636;41;1,251;;;3;0;09/18/2020 01:48:37 PM;Not agree;Not agree
12/27/2020;IA;274,982;;;576;97;3,745;;;1;1;12/28/2020 02:42:49 PM;Not agree;Not agree
07/15/2020;NY;184,024;;;465;0;8,762;;;6;0;07/16/2020 02:22:21 PM;Not agree;Not agree
10/20/2020;NM;37,896;;;594;0;951;;;9;0;10/22/2020 12:00:00 AM;N/A;Not agree
09/22/2020;SD;19,189;;;320;0;202;200;2;0;0;09/23/2020 01:51:22 PM;N/A;Agree
05/08/2021;OH;1,082,815;908,990;173,825;1,297;315;19,428;19,428;0;0;0;05/09/2021 01:43:24 PM;Agree;Agree
06/12/2021;PA;1,208,287;1,011,911;196,376;412;104;27,457;;;0;-25;06/13/2021 01:40:53 PM;Agree;Not agree
05/09/2020;NM;4,778;;;105;0;251;;;8;0;05/11/2020 12:00:00 AM;N/A;Not agree
04/24/2021;OH;1,063,433;894,839;168,594;1,526;382;19,122;19,122;0;0;0;04/25/2021 01:42:01 PM;Agree;Agree
08/28/2020;RMI;0;0;0;0;0;0;0;0;0;0;08/29/2020 01:42:50 PM;Agree;Agree
11/28/2020;PA;351,667;326,741;24,926;8,053;551;10,275;;;41;28;11/29/2020 02:49:08 PM;Agree;Not agree
01/28/2020;RMI;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
12/31/2020;SD;99,164;;;444;119;1,488;1,204;284;24;6;01/01/2021 02:49:07 PM;N/A;Agree
05/04/2020;PA;50,092;49,347;745;825;30;2,458;;;14;0;05/05/2020 05:25:08 PM;Agree;Not agree
08/24/2020;OH;115,651;109,566;6,085;849;18;3,986;3,705;281;8;0;08/25/2020 02:02:54 PM;Agree;Agree
03/25/2020;TN;1,756;1,754;2;226;0;5;5;0;1;0;03/25/2020 12:00:00 AM;Agree;Agree
08/19/2020;NM;23,749;;;170;0;783;;;5;0;08/21/2020 12:00:00 AM;N/A;Not agree
11/11/2020;RMI;1;1;0;0;0;0;0;0;0;0;11/12/2020 02:55:21 PM;Agree;Agree
08/01/2020;RMI;0;0;0;0;0;0;0;0;0;0;08/02/2020 02:54:37 PM;Agree;Agree
04/29/2020;TN;11,788;11,727;61;1,064;5;218;209;9;6;0;04/29/2020 12:00:00 AM;Agree;Agree
05/08/2021;NM;199,522;;;189;0;4,258;;;2;0;05/10/2021 12:00:00 AM;N/A;Not agree
08/10/2020;NY;193,267;;;239;0;8,880;;;1;0;08/11/2020 02:16:27 PM;Not agree;Not agree
11/10/2020;PA;238,657;225,150;13,507;4,361;648;9,086;;;62;31;11/11/2020 03:15:25 PM;Agree;Not agree
07/04/2021;SD;124,604;;;11;0;2,038;1,660;378;0;0;07/05/2021 02:30:02 PM;N/A;Agree
